HourUTC,HourDK,DK2_EUR/MWh,ImbalancePriceEURDK2
2022-12-31 23:00:00,2023-01-01 00:00:00,2.01,-6.72
2023-01-01 00:00:00,2023-01-01 01:00:00,1.38,1.38
2023-01-01 01:00:00,2023-01-01 02:00:00,0.09,-6
2023-01-01 02:00:00,2023-01-01 03:00:00,0.08,-6
2023-01-01 03:00:00,2023-01-01 04:00:00,0.05,-6
2023-01-01 04:00:00,2023-01-01 05:00:00,0.08,-0.4
2023-01-01 05:00:00,2023-01-01 06:00:00,0.09,-2.5
2023-01-01 06:00:00,2023-01-01 07:00:00,0.53,-5
2023-01-01 07:00:00,2023-01-01 08:00:00,2.03,-5
2023-01-01 08:00:00,2023-01-01 09:00:00,3.1,-7
2023-01-01 09:00:00,2023-01-01 10:00:00,4.43,-7
2023-01-01 10:00:00,2023-01-01 11:00:00,6.06,-7
2023-01-01 11:00:00,2023-01-01 12:00:00,6.06,-5
2023-01-01 12:00:00,2023-01-01 13:00:00,5.68,-5
2023-01-01 13:00:00,2023-01-01 14:00:00,17.709999,0.45
2023-01-01 14:00:00,2023-01-01 15:00:00,24.110001,9.51
2023-01-01 15:00:00,2023-01-01 16:00:00,36.540001,132.199997
2023-01-01 16:00:00,2023-01-01 17:00:00,46.029999,150
2023-01-01 17:00:00,2023-01-01 18:00:00,55.57,150
2023-01-01 18:00:00,2023-01-01 19:00:00,54.950001,100
2023-01-01 19:00:00,2023-01-01 20:00:00,49.23,29
2023-01-01 20:00:00,2023-01-01 21:00:00,44.990002,44.990002
2023-01-01 21:00:00,2023-01-01 22:00:00,45.959999,45.959999
2023-01-01 22:00:00,2023-01-01 23:00:00,35,35
2023-01-01 23:00:00,2023-01-02 00:00:00,57.91,57.91
2023-01-02 00:00:00,2023-01-02 01:00:00,51.669998,76.43
2023-01-02 01:00:00,2023-01-02 02:00:00,52.860001,85.629997
2023-01-02 02:00:00,2023-01-02 03:00:00,44.16,32.27
2023-01-02 03:00:00,2023-01-02 04:00:00,50.080002,50.080002
2023-01-02 04:00:00,2023-01-02 05:00:00,70.730003,70.730003
2023-01-02 05:00:00,2023-01-02 06:00:00,104.080002,43
2023-01-02 06:00:00,2023-01-02 07:00:00,140.639999,140.639999
2023-01-02 07:00:00,2023-01-02 08:00:00,145.979996,145.979996
2023-01-02 08:00:00,2023-01-02 09:00:00,147.050003,125
2023-01-02 09:00:00,2023-01-02 10:00:00,145.610001,115.089996
2023-01-02 10:00:00,2023-01-02 11:00:00,143.350006,153.5
2023-01-02 11:00:00,2023-01-02 12:00:00,144.380005,175
2023-01-02 12:00:00,2023-01-02 13:00:00,143.759995,160
2023-01-02 13:00:00,2023-01-02 14:00:00,148.199997,122
2023-01-02 14:00:00,2023-01-02 15:00:00,155.339996,128
2023-01-02 15:00:00,2023-01-02 16:00:00,162.889999,162.889999
2023-01-02 16:00:00,2023-01-02 17:00:00,170,175.009995
2023-01-02 17:00:00,2023-01-02 18:00:00,174.740005,189
2023-01-02 18:00:00,2023-01-02 19:00:00,164.460007,164.460007
2023-01-02 19:00:00,2023-01-02 20:00:00,153,153
2023-01-02 20:00:00,2023-01-02 21:00:00,141.669998,128
2023-01-02 21:00:00,2023-01-02 22:00:00,131.669998,53.790001
2023-01-02 22:00:00,2023-01-02 23:00:00,118.059998,53.790001
2023-01-02 23:00:00,2023-01-03 00:00:00,78.809998,114.5
2023-01-03 00:00:00,2023-01-03 01:00:00,73.93,118.739998
2023-01-03 01:00:00,2023-01-03 02:00:00,73.940002,108.5
2023-01-03 02:00:00,2023-01-03 03:00:00,71.440002,71.440002
2023-01-03 03:00:00,2023-01-03 04:00:00,72.330002,103
2023-01-03 04:00:00,2023-01-03 05:00:00,77.139999,77.139999
2023-01-03 05:00:00,2023-01-03 06:00:00,102.480003,152
2023-01-03 06:00:00,2023-01-03 07:00:00,154.960007,210
2023-01-03 07:00:00,2023-01-03 08:00:00,163.919998,210
2023-01-03 08:00:00,2023-01-03 09:00:00,167.070007,199
2023-01-03 09:00:00,2023-01-03 10:00:00,168.570007,197
2023-01-03 10:00:00,2023-01-03 11:00:00,169.490005,196
2023-01-03 11:00:00,2023-01-03 12:00:00,164.5,184.5
2023-01-03 12:00:00,2023-01-03 13:00:00,160.910004,180
