hour,Winter_2023-02-06__SI1,Winter_2023-02-06__SI2,Winter_2023-02-06__SI3,Winter_2023-02-06__SI4,Winter_2023-02-07__SI1,Winter_2023-02-07__SI2,Winter_2023-02-07__SI3,Winter_2023-02-07__SI4,Winter_2023-02-08__SI1,Winter_2023-02-08__SI2,Winter_2023-02-08__SI3,Winter_2023-02-08__SI4,Winter_2023-02-09__SI1,Winter_2023-02-09__SI2,Winter_2023-02-09__SI3,Winter_2023-02-09__SI4,Winter_2023-02-10__SI1,Winter_2023-02-10__SI2,Winter_2023-02-10__SI3,Winter_2023-02-10__SI4,Spring_2023-05-08__SI1,Spring_2023-05-08__SI2,Spring_2023-05-08__SI3,Spring_2023-05-08__SI4,Spring_2023-05-09__SI1,Spring_2023-05-09__SI2,Spring_2023-05-09__SI3,Spring_2023-05-09__SI4,Spring_2023-05-10__SI1,Spring_2023-05-10__SI2,Spring_2023-05-10__SI3,Spring_2023-05-10__SI4,Spring_2023-05-11__SI1,Spring_2023-05-11__SI2,Spring_2023-05-11__SI3,Spring_2023-05-11__SI4,Spring_2023-05-12__SI1,Spring_2023-05-12__SI2,Spring_2023-05-12__SI3,Spring_2023-05-12__SI4,Summer_2023-08-07__SI1,Summer_2023-08-07__SI2,Summer_2023-08-07__SI3,Summer_2023-08-07__SI4,Summer_2023-08-08__SI1,Summer_2023-08-08__SI2,Summer_2023-08-08__SI3,Summer_2023-08-08__SI4,Summer_2023-08-09__SI1,Summer_2023-08-09__SI2,Summer_2023-08-09__SI3,Summer_2023-08-09__SI4,Summer_2023-08-10__SI1,Summer_2023-08-10__SI2,Summer_2023-08-10__SI3,Summer_2023-08-10__SI4,Summer_2023-08-11__SI1,Summer_2023-08-11__SI2,Summer_2023-08-11__SI3,Summer_2023-08-11__SI4,Autumn_2023-11-06__SI1,Autumn_2023-11-06__SI2,Autumn_2023-11-06__SI3,Autumn_2023-11-06__SI4,Autumn_2023-11-07__SI1,Autumn_2023-11-07__SI2,Autumn_2023-11-07__SI3,Autumn_2023-11-07__SI4,Autumn_2023-11-08__SI1,Autumn_2023-11-08__SI2,Autumn_2023-11-08__SI3,Autumn_2023-11-08__SI4,Autumn_2023-11-09__SI1,Autumn_2023-11-09__SI2,Autumn_2023-11-09__SI3,Autumn_2023-11-09__SI4,Autumn_2023-11-10__SI1,Autumn_2023-11-10__SI2,Autumn_2023-11-10__SI3,Autumn_2023-11-10__SI4
0,181.25,123.25,181.25,123.25,182.15,123.862,182.15,123.862,200.04999999999998,136.034,200.04999999999998,136.034,15.0375,10.225499999999998,15.0375,10.225499999999998,22.9,15.572,22.9,15.572,70.325,47.821,70.325,47.821,24.0375,16.3455,24.0375,16.3455,0.28750000000000003,0.1955,0.28750000000000003,0.1955,73.4125,49.9205,73.4125,49.9205,98.85,67.218,98.85,67.218,0.125,0.085,0.125,0.085,-5.3500000000000005,-3.638,-5.3500000000000005,-3.638,-1.4124999999999999,-0.9604999999999999,-1.4124999999999999,-0.9604999999999999,16.75,11.39,16.75,11.39,139.1375,94.6135,139.1375,94.6135,23.75,16.15,23.75,16.15,50.3875,34.2635,50.3875,34.2635,49.887499999999996,33.9235,49.887499999999996,33.9235,41.587500000000006,28.279500000000002,41.587500000000006,28.279500000000002,71.2125,48.424499999999995,71.2125,48.424499999999995
1,122.17049999999999,179.6625,179.6625,179.6625,120.802,177.65,177.65,177.65,131.8775,193.9375,193.9375,193.9375,8.5085,12.5125,12.5125,12.5125,15.1895,22.337500000000002,22.337500000000002,22.337500000000002,46.8435,68.8875,68.8875,68.8875,16.124499999999998,23.7125,23.7125,23.7125,0.0085,0.0125,0.0125,0.0125,20.9015,30.7375,30.7375,30.7375,71.5955,105.28750000000001,105.28750000000001,105.28750000000001,0.0,0.0,0.0,0.0,-5.1255,-7.5375000000000005,-7.5375000000000005,-7.5375000000000005,-0.9520000000000001,-1.4000000000000001,-1.4000000000000001,-1.4000000000000001,31.4755,46.2875,46.2875,46.2875,90.4315,132.9875,132.9875,132.9875,14.433,21.225,21.225,21.225,31.951500000000003,46.987500000000004,46.987500000000004,46.987500000000004,31.773,46.725,46.725,46.725,25.007,36.775000000000006,36.775000000000006,36.775000000000006,44.140499999999996,64.9125,64.9125,64.9125
2,123.59849999999999,123.59849999999999,123.59849999999999,181.7625,119.2635,119.2635,119.2635,175.3875,127.5,127.5,127.5,187.5,6.511,6.511,6.511,9.575,15.164,15.164,15.164,22.3,48.178,48.178,48.178,70.85,11.441,11.441,11.441,16.825000000000003,0.0,0.0,0.0,0.0,20.6805,20.6805,20.6805,30.412499999999998,72.87899999999999,72.87899999999999,72.87899999999999,107.175,-0.2125,-0.2125,-0.2125,-0.3125,-5.27,-5.27,-5.27,-7.75,-0.9774999999999999,-0.9774999999999999,-0.9774999999999999,-1.4375,34.9095,34.9095,34.9095,51.3375,89.05449999999999,89.05449999999999,89.05449999999999,130.9625,14.3735,14.3735,14.3735,21.1375,29.4695,29.4695,29.4695,43.337500000000006,30.566,30.566,30.566,44.95,23.1455,23.1455,23.1455,34.0375,42.432,42.432,42.432,62.400000000000006
3,120.7765,177.6125,120.7765,120.7765,118.456,174.20000000000002,118.456,118.456,125.77449999999999,184.9625,125.77449999999999,125.77449999999999,6.2305,9.1625,6.2305,6.2305,16.048,23.599999999999998,16.048,16.048,50.5325,74.3125,50.5325,50.5325,9.8345,14.4625,9.8345,9.8345,0.0,0.0,0.0,0.0,15.0195,22.087500000000002,15.0195,15.0195,74.664,109.80000000000001,74.664,74.664,-0.935,-1.375,-0.935,-0.935,-5.032,-7.4,-5.032,-5.032,-0.9944999999999999,-1.4625,-0.9944999999999999,-0.9944999999999999,31.314000000000004,46.050000000000004,31.314000000000004,31.314000000000004,84.7875,124.6875,84.7875,84.7875,14.177999999999999,20.85,14.177999999999999,14.177999999999999,30.243,44.474999999999994,30.243,30.243,29.988,44.1,29.988,29.988,21.743,31.974999999999998,21.743,21.743,24.224999999999998,35.625,24.224999999999998,24.224999999999998
4,119.085,119.085,175.125,119.085,120.35999999999999,120.35999999999999,177.0,120.35999999999999,124.0745,124.0745,182.4625,124.0745,10.0725,10.0725,14.8125,10.0725,16.422,16.422,24.15,16.422,53.4565,53.4565,78.6125,53.4565,7.9135,7.9135,11.637500000000001,7.9135,0.0,0.0,0.0,0.0,12.376,12.376,18.2,12.376,75.36099999999999,75.36099999999999,110.82499999999999,75.36099999999999,-0.9435,-0.9435,-1.3875000000000002,-0.9435,-3.1790000000000003,-3.1790000000000003,-4.675000000000001,-3.1790000000000003,-1.003,-1.003,-1.4749999999999999,-1.003,35.275,35.275,51.875,35.275,86.9465,86.9465,127.86250000000001,86.9465,14.399000000000001,14.399000000000001,21.175,14.399000000000001,34.051,34.051,50.075,34.051,31.483999999999998,31.483999999999998,46.3,31.483999999999998,21.7685,21.7685,32.0125,21.7685,19.108,19.108,28.1,19.108
5,126.5905,126.5905,186.16250000000002,186.16250000000002,121.92399999999999,121.92399999999999,179.3,179.3,126.73499999999999,126.73499999999999,186.375,186.375,14.025,14.025,20.625,20.625,16.711,16.711,24.575,24.575,57.7575,57.7575,84.9375,84.9375,21.2245,21.2245,31.2125,31.2125,0.059500000000000004,0.059500000000000004,0.08750000000000001,0.08750000000000001,52.122,52.122,76.65,76.65,82.127,82.127,120.775,120.775,-0.935,-0.935,-1.375,-1.375,-1.9719999999999998,-1.9719999999999998,-2.9,-2.9,-0.9944999999999999,-0.9944999999999999,-1.4625,-1.4625,37.5105,37.5105,55.1625,55.1625,90.78,90.78,133.5,133.5,21.555999999999997,21.555999999999997,31.7,31.7,42.432,42.432,62.400000000000006,62.400000000000006,38.7005,38.7005,56.9125,56.9125,22.644,22.644,33.3,33.3,21.2245,21.2245,31.2125,31.2125
6,219.58749999999998,149.31949999999998,149.31949999999998,149.31949999999998,213.17499999999998,144.959,144.959,144.959,219.6125,149.3365,149.3365,149.3365,25.637500000000003,17.433500000000002,17.433500000000002,17.433500000000002,31.887500000000003,21.683500000000002,21.683500000000002,21.683500000000002,127.025,86.377,86.377,86.377,37.275,25.347,25.347,25.347,4.175,2.839,2.839,2.839,151.3875,102.9435,102.9435,102.9435,142.72500000000002,97.053,97.053,97.053,0.0125,0.0085,0.0085,0.0085,-1.4625,-0.9944999999999999,-0.9944999999999999,-0.9944999999999999,-0.0375,-0.0255,-0.0255,-0.0255,64.025,43.537,43.537,43.537,179.11249999999998,121.7965,121.7965,121.7965,75.2125,51.1445,51.1445,51.1445,107.05,72.794,72.794,72.794,93.9375,63.877500000000005,63.877500000000005,63.877500000000005,39.5,26.86,26.86,26.86,37.5,25.5,25.5,25.5
7,170.5525,170.5525,250.8125,250.8125,168.3255,168.3255,247.5375,247.5375,167.14399999999998,167.14399999999998,245.79999999999998,245.79999999999998,21.3265,21.3265,31.3625,31.3625,77.877,77.877,114.525,114.525,99.09299999999999,99.09299999999999,145.725,145.725,43.6475,43.6475,64.1875,64.1875,24.9815,24.9815,36.7375,36.7375,126.0805,126.0805,185.41250000000002,185.41250000000002,110.5,110.5,162.5,162.5,1.9549999999999998,1.9549999999999998,2.875,2.875,-0.1105,-0.1105,-0.1625,-0.1625,0.085,0.085,0.125,0.125,46.239999999999995,46.239999999999995,68.0,68.0,121.7965,121.7965,179.11249999999998,179.11249999999998,59.074999999999996,59.074999999999996,86.875,86.875,109.378,109.378,160.85000000000002,160.85000000000002,73.04050000000001,73.04050000000001,107.41250000000001,107.41250000000001,30.770000000000003,30.770000000000003,45.25,45.25,53.3375,53.3375,78.4375,78.4375
8,181.3815,181.3815,181.3815,181.3815,182.036,182.036,182.036,182.036,183.76149999999998,183.76149999999998,183.76149999999998,183.76149999999998,24.157,24.157,24.157,24.157,108.63,108.63,108.63,108.63,92.0635,92.0635,92.0635,92.0635,49.113,49.113,49.113,49.113,30.217499999999998,30.217499999999998,30.217499999999998,30.217499999999998,142.613,142.613,142.613,142.613,117.28299999999999,117.28299999999999,117.28299999999999,117.28299999999999,16.702499999999997,16.702499999999997,16.702499999999997,16.702499999999997,-0.49299999999999994,-0.49299999999999994,-0.49299999999999994,-0.49299999999999994,1.343,1.343,1.343,1.343,51.7905,51.7905,51.7905,51.7905,97.80949999999999,97.80949999999999,97.80949999999999,97.80949999999999,70.63499999999999,70.63499999999999,70.63499999999999,70.63499999999999,111.83449999999999,111.83449999999999,111.83449999999999,111.83449999999999,86.5895,86.5895,86.5895,86.5895,31.365,31.365,31.365,31.365,69.394,69.394,69.394,69.394
9,170.5525,170.5525,170.5525,170.5525,163.0725,163.0725,163.0725,163.0725,149.6,149.6,149.6,149.6,24.743499999999997,24.743499999999997,24.743499999999997,24.743499999999997,121.34599999999999,121.34599999999999,121.34599999999999,121.34599999999999,82.96849999999999,82.96849999999999,82.96849999999999,82.96849999999999,40.0435,40.0435,40.0435,40.0435,25.7125,25.7125,25.7125,25.7125,115.14949999999999,115.14949999999999,115.14949999999999,115.14949999999999,93.993,93.993,93.993,93.993,18.0285,18.0285,18.0285,18.0285,-2.2355,-2.2355,-2.2355,-2.2355,1.8444999999999998,1.8444999999999998,1.8444999999999998,1.8444999999999998,33.15,33.15,33.15,33.15,85.17,85.17,85.17,85.17,61.914,61.914,61.914,61.914,92.8795,92.8795,92.8795,92.8795,77.1205,77.1205,77.1205,77.1205,32.504,32.504,32.504,32.504,68.1445,68.1445,68.1445,68.1445
