scenario,profit_EUR
0,198140.30320499977
1,280422.064765
2,252719.89124499983
3,210048.8441649999
4,208130.48927999986
5,289733.67720000003
6,258821.01055999985
7,215814.2598799998
8,123435.45448999992
9,172411.25772999995
10,175077.50524999993
11,133583.2248099998
12,22051.763425000012
13,35208.14378500002
14,30656.10414500002
15,25804.881105000008
16,44322.62482999993
17,70747.36718999996
18,66335.04086999991
19,58577.91466999997
20,66680.27065999998
21,102667.00125999999
22,94266.98626000009
23,80839.04982000001
24,14593.651835000011
25,27415.643595000016
26,27011.496515000006
27,22314.935195
28,15080.327819999991
29,18260.360899999985
30,13847.276460000008
31,13809.954299999998
32,73157.63358999998
33,132022.64530999993
34,111648.25750999991
35,100846.11014999996
36,111318.01221000007
37,139976.6352100001
38,120968.55148999998
39,114572.71092999994
40,3169.6545849999966
41,3519.829144999996
42,3267.0999049999955
43,3035.646944999997
44,-4859.844030000004
45,-5465.694910000006
46,-5798.035230000001
47,-2940.843630000003
48,24544.290240000002
49,28239.125839999993
50,19710.14644000001
51,24488.174400000018
52,87369.53078999993
53,111123.56435000006
54,80611.71062999999
55,88251.81739000004
56,134695.14532000013
57,173560.80280000018
58,147016.3565600001
59,136668.9698800001
60,60575.26312000002
61,108929.26948000008
62,95448.85620000004
63,73469.20192000014
64,81038.68932499993
65,135531.6452449999
66,121272.36360499996
67,98724.66104499984
68,63390.69927500008
69,101663.55147500004
70,92356.25007499999
71,72818.24083500006
72,50984.72002499999
73,85434.83218499995
74,79577.25726500002
75,59204.627224999946
76,92096.72158999997
77,132477.36479000002
78,118995.93886999995
79,88360.74563000002
80,352456.81103
81,425597.9503499998
82,402176.9556300002
83,364323.1291100001
84,360276.94027499994
85,432799.71915500006
86,407073.18807499995
87,368841.517155
88,230777.52617000008
89,274360.0801700002
90,279915.37569000025
91,242378.97233000025
92,43103.18694500002
93,54929.47554500002
94,50815.21254500002
95,46592.53938500001
96,97069.58683500002
97,121244.14571499999
98,117149.96395499998
99,109882.72319500003
100,129360.64127999998
101,161834.91720000003
102,155508.15596
103,143392.04896000004
104,33764.89301499998
105,45625.440054999985
106,45940.690615
107,41358.765535
108,24274.774634999994
109,27476.752434999988
110,23856.068755
111,23574.917994999996
