hour,p_DA_opt_MW,mean_wind_MW,pct_capacity
0,125.83,181.34599999999998,25.166
1,63.35,182.21200000000002,12.67
2,224.35,181.43650000000002,44.87
3,207.41,182.93349999999998,41.482
4,217.96,181.76100000000002,43.592000000000006
5,154.56,177.74,30.912
6,227.52,178.52599999999998,45.504
7,163.02,185.0195,32.604
8,500.0,189.40349999999998,100.0
9,500.0,193.5525,100.0
10,172.36,196.3005,34.472
11,169.7,198.2795,33.94
12,240.29,197.294,48.058
13,158.88,193.24,31.776
14,500.0,188.68899999999996,100.0
15,214.17,185.66,42.834
16,500.0,181.78549999999998,100.0
17,500.0,179.94549999999998,100.0
18,205.18,183.49,41.036
19,213.07,188.62900000000002,42.614
20,219.34,190.77650000000003,43.868
21,500.0,188.713,100.0
22,500.0,186.08550000000002,100.0
23,500.0,184.4345,100.0
