hour,Winter_2023-02-06,Winter_2023-02-07,Winter_2023-02-08,Winter_2023-02-09,Winter_2023-02-10,Spring_2023-05-08,Spring_2023-05-09,Spring_2023-05-10,Spring_2023-05-11,Spring_2023-05-12,Summer_2023-08-07,Summer_2023-08-08,Summer_2023-08-09,Summer_2023-08-10,Summer_2023-08-11,Autumn_2023-11-06,Autumn_2023-11-07,Autumn_2023-11-08,Autumn_2023-11-09,Autumn_2023-11-10
0,73.893,67.902,53.3485,202.639,263.0735,134.29749999999999,205.32500000000002,270.323,12.878499999999999,125.83050000000001,362.861,454.62350000000004,291.3005,174.40249999999997,54.7405,51.355,246.09300000000002,217.517,264.2105,100.30749999999999
1,63.352500000000006,67.573,54.330999999999996,200.0635,248.28,119.7535,203.4515,265.803,8.2025,115.8115,386.4285,456.04499999999996,291.377,168.873,55.9415,69.6195,253.24249999999998,228.867,258.55699999999996,128.686
2,51.0255,64.79,58.948,199.4315,225.4935,108.67699999999999,202.5445,263.004,5.312,108.22500000000001,412.584,450.9705,289.0155,166.8485,59.583999999999996,102.7535,247.684,224.349,233.2245,154.2785
3,42.427,61.7005,64.0525,207.235,207.406,102.12450000000001,205.953,264.967,4.678,98.3875,424.865,442.4305,287.98049999999995,163.04399999999998,59.769999999999996,147.4445,250.043,231.46,216.679,176.0235
4,35.6085,57.418499999999995,67.29,217.96450000000002,184.651,96.693,205.3055,266.3965,5.601,81.86200000000001,425.179,435.82349999999997,280.963,159.336,53.9335,187.405,250.766,222.2305,218.40699999999998,182.37800000000001
5,26.031,55.4075,66.6155,229.416,154.56300000000002,83.0505,197.3425,245.6095,5.608499999999999,64.16199999999999,417.16900000000004,434.995,275.652,159.163,41.914,212.1395,266.56350000000003,217.72250000000003,214.879,186.7995
6,19.126,56.5785,61.5485,240.1895,129.2605,107.917,227.6385,252.26900000000003,6.018,55.8435,410.9415,431.15,274.9425,164.5585,34.8115,227.5165,267.62399999999997,216.172,196.1035,190.30849999999998
7,14.942,57.785999999999994,58.923,241.57500000000002,112.29849999999999,163.018,271.507,275.7405,8.867999999999999,54.7285,409.719,427.43949999999995,285.43800000000005,171.27800000000002,32.0195,254.4615,264.4745,217.92249999999999,189.6795,188.55700000000002
8,9.3505,55.5645,58.0575,235.921,99.57900000000001,201.5845,299.39,291.26099999999997,14.6875,64.0515,409.86899999999997,425.22749999999996,297.9115,178.383,34.030499999999996,270.867,257.7295,205.8055,187.798,191.001
9,2.3255,51.8785,72.23549999999999,242.6595,85.0815,232.2345,318.75,307.711,20.988500000000002,79.436,404.48,421.452,305.17850000000004,178.94899999999998,39.3605,277.483,244.211,202.0245,186.2895,198.32350000000002
10,0.3905,49.589,92.9625,244.2135,93.663,254.208,330.3845,306.2025,26.287499999999998,87.445,405.9665,418.2435,309.30400000000003,174.035,42.646,273.3425,235.6915,213.68599999999998,172.3625,195.394
11,0.45399999999999996,48.284,107.4975,228.0255,126.8915,267.4365,336.543,290.805,30.3975,88.9485,414.288,414.931,308.3085,170.2795,41.390499999999996,271.77849999999995,234.2515,234.405,169.6995,180.9595
12,0.0975,47.5775,117.1515,219.4335,165.0555,266.80350000000004,334.727,268.509,33.464,87.772,428.17499999999995,412.1205,303.315,166.3275,35.984500000000004,261.94050000000004,226.539,240.292,175.59449999999998,155.0105
13,0.14200000000000002,47.980000000000004,118.1905,222.1105,201.5795,257.791,325.81100000000004,239.8475,39.0215,89.85849999999999,440.527,407.92650000000003,298.368,158.881,28.962999999999997,240.54500000000002,215.7495,233.713,168.2915,129.495
14,1.1795,49.6525,115.9315,212.09300000000002,247.08749999999998,244.0385,307.768,205.43349999999998,50.483,97.499,444.7965,400.71299999999997,293.04,151.7475,23.4135,224.7905,211.8065,222.4105,154.317,115.57900000000001
15,2.2585,59.877,138.01350000000002,224.9835,280.2545,231.68,280.512,159.3185,72.242,107.2635,448.01099999999997,393.7175,279.32099999999997,139.943,20.2815,214.166,206.6025,190.2645,145.706,118.80250000000001
16,3.6135,71.858,166.5255,238.1345,279.50199999999995,219.748,264.28049999999996,109.2875,102.3845,104.6725,451.0,380.3865,263.9205,122.52000000000001,19.644,217.365,203.6235,162.378,131.1445,123.7275
17,7.4525,78.9735,189.53900000000002,245.28150000000002,292.9565,212.96599999999998,267.412,84.676,132.2105,98.444,454.27299999999997,359.81600000000003,242.4255,105.629,27.428,204.3215,198.96949999999998,144.7715,123.5645,127.798
18,15.4,80.3725,205.1765,257.4765,318.92900000000003,222.2025,280.9185,65.827,160.89999999999998,107.16499999999999,454.11449999999996,338.1645,217.9765,91.4875,54.971,202.3225,204.9905,146.6805,119.6455,125.08449999999999
